GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TFG,crawler,RobotstxtConfig,43,0,0,0,17,0,9,0,9,0
TFG,crawler,WebURL,271,0,24,0,64,0,39,0,27,0
TFG,crawler,AuthInfo,95,0,0,0,37,0,18,0,18,0
TFG,crawler,TextParseData,25,0,0,0,9,0,6,0,6,0
TFG,crawler,UserAgentDirectives,188,0,24,0,46,0,22,0,10,0
TFG,crawler,Page,235,0,26,0,70,0,39,0,26,0
TFG,crawler,Frontier,397,0,34,0,102,0,30,0,13,0
TFG,crawler,PathRule,184,0,28,0,41,0,19,0,5,0
TFG,crawler,RobotstxtParser,164,0,18,0,41,0,12,0,3,0
TFG,crawler,NtAuthInfo,18,0,0,0,6,0,3,0,3,0
TFG,crawler,Net,52,0,6,0,15,0,7,0,4,0
TFG,crawler,AllTagMapper,11,0,0,0,4,0,4,0,4,0
TFG,crawler,Counters,232,0,12,0,57,0,13,0,7,0
TFG,crawler,CrawlController.new Runnable() {...},305,0,28,0,64,0,16,0,2,0
TFG,crawler,HtmlParseData,48,0,0,0,18,0,13,0,13,0
TFG,crawler,Counters.ReservedCounterNames,3,0,0,0,1,0,1,0,1,0
TFG,crawler,PageFetcher,680,0,62,0,151,0,40,0,9,0
TFG,crawler,HtmlContentHandler,374,0,70,0,89,0,45,0,10,0
TFG,crawler,BasicAuthInfo,8,0,0,0,2,0,1,0,1,0
TFG,crawler,AuthInfo.AuthenticationType,48,0,0,0,4,0,4,0,4,0
TFG,crawler,SniSSLConnectionSocketFactory,30,0,6,0,5,0,5,0,2,0
TFG,crawler,TLDList,324,0,42,0,50,0,27,0,6,0
TFG,crawler,WebCrawler,659,0,114,0,163,0,81,0,24,0
TFG,crawler,CrawlController.DefaultWebCrawlerFactory,14,0,0,0,6,0,2,0,2,0
TFG,crawler,PageBiggerThanMaxSizeException,19,0,0,0,4,0,2,0,2,0
TFG,crawler,UserAgentDirectives.UserAgentComparator,68,0,8,0,19,0,6,0,2,0
TFG,crawler,PageFetcher.new TrustStrategy() {...},8,0,0,0,2,0,2,0,2,0
TFG,crawler,DocIDServer,286,0,20,0,63,0,18,0,8,0
TFG,crawler,HostDirectives,136,0,18,0,30,0,17,0,8,0
TFG,crawler,BinaryParseData,130,0,6,0,35,0,12,0,9,0
TFG,crawler,Configurable,9,0,0,0,4,0,2,0,2,0
TFG,crawler,WebURLTupleBinding,73,0,0,0,18,0,3,0,3,0
TFG,crawler,IO,62,0,12,0,12,0,10,0,4,0
TFG,crawler,WorkQueues,333,0,34,0,62,0,27,0,10,0
TFG,crawler,Parser,364,0,42,0,79,0,24,0,3,0
TFG,crawler,URLCanonicalizer,330,0,47,0,70,0,31,0,7,0
TFG,crawler,PageFetchResult,91,0,2,0,35,0,15,0,14,0
TFG,crawler,HtmlContentHandler.Element,128,0,0,0,12,0,4,0,4,0
TFG,crawler,CrawlConfig,727,0,12,0,162,0,70,0,64,0
TFG,crawler,InProcessPagesDB,135,0,18,0,22,0,12,0,3,0
TFG,crawler,SniPoolingHttpClientConnectionManager,58,0,10,0,17,0,8,0,3,0
TFG,crawler,RobotstxtServer,404,0,54,0,86,0,33,0,6,0
TFG,crawler,UrlResolver.Url,105,0,12,0,29,0,9,0,3,0
TFG,crawler,UserAgentDirectives.PathComparator,51,0,10,0,14,0,7,0,2,0
TFG,crawler,UrlResolver,465,0,94,0,120,0,54,0,7,0
TFG,crawler,ContentFetchException,3,0,0,0,1,0,1,0,1,0
TFG,crawler,ExtractedUrlAnchorPair,49,0,0,0,17,0,11,0,11,0
TFG,crawler,FormAuthInfo,28,0,0,0,10,0,5,0,5,0
TFG,crawler,CrawlController,492,0,28,0,133,0,40,0,26,0
TFG,crawler,Util,181,0,26,0,29,0,21,0,8,0
TFG,crawler,ParseException,3,0,0,0,1,0,1,0,1,0
TFG,crawler,NotAllowedContentException,4,0,0,0,2,0,1,0,1,0
TFG,crawler,HtmlContentHandler.HtmlFactory,36,0,2,0,6,0,4,0,3,0
TFG,crawler,IdleConnectionMonitorThread,55,0,2,0,17,0,4,0,3,0
TFG,analisy_algorithms,MyAlgorithms,159,0,18,0,20,0,15,0,6,0
TFG,extract_data,Controller,81,0,2,0,24,0,3,0,2,0
TFG,extract_data,MyCrawler,84,0,8,0,16,0,8,0,4,0
